
Sun Mar 23 11:01:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:01:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:02:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:02:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:03:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:03:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:04:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:04:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:05:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:05:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:06:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:06:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:07:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:07:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:08:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:08:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:09:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:09:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:10:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:10:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:11:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:11:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:12:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:12:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:13:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:13:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:14:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:14:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:15:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:15:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:16:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:16:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:17:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:17:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:18:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:18:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:19:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:19:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 11:20:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
